time,ID,count,protocol
1670355521,00,905,locomotor
1670355529,00,906,locomotor
1670355613,00,907,locomotor
1670355627,00,908,locomotor
1670355661,00,909,locomotor
1670355668,00,910,locomotor
1670355678,00,911,locomotor
1670355721,00,912,locomotor
1670355728,00,913,locomotor
1670355742,00,914,locomotor
1670355749,00,915,locomotor
1670355759,00,916,locomotor
1670355857,00,917,locomotor
1670355877,00,918,locomotor
1670355886,00,919,locomotor
1670355892,00,920,locomotor
1670355992,00,921,locomotor
1670356005,00,922,locomotor
1670356012,00,923,locomotor
1670356102,00,924,locomotor
1670356107,00,925,locomotor
1670356148,00,926,locomotor
1670356169,00,927,locomotor
1670356203,00,928,locomotor
1670356225,00,929,locomotor
1670356288,00,930,locomotor
1670356309,00,931,locomotor
1670356350,00,932,locomotor
1670356358,00,933,locomotor
1670356463,00,934,locomotor
1670356876,00,935,locomotor
1670356909,00,936,locomotor
1670356929,00,937,locomotor
1670356936,00,938,locomotor
1670356967,00,939,locomotor
1670356975,00,940,locomotor
1670356992,00,941,locomotor
1670357000,00,942,locomotor
1670357009,00,943,locomotor
1670357028,00,944,locomotor
1670357039,00,945,locomotor
1670357046,00,946,locomotor
1670357053,00,947,locomotor
1670357061,00,948,locomotor
1670357067,00,949,locomotor
1670357131,00,950,locomotor
1670357138,00,951,locomotor
1670357146,00,952,locomotor
1670357162,00,953,locomotor
1670357171,00,954,locomotor
1670357180,00,955,locomotor
1670357216,00,956,locomotor
1670357236,00,957,locomotor
1670357242,00,958,locomotor
1670357258,00,959,locomotor
1670357328,00,960,locomotor
1670357440,00,961,locomotor
1670357461,00,962,locomotor
1670357472,00,963,locomotor
1670357481,00,964,locomotor
1670357492,00,965,locomotor
1670357501,00,966,locomotor
1670357535,00,967,locomotor
1670357543,00,968,locomotor
1670357552,00,969,locomotor
1670357558,00,970,locomotor
1670357571,00,971,locomotor
1670357578,00,972,locomotor
1670357613,00,973,locomotor
1670357620,00,974,locomotor
1670357654,00,975,locomotor
1670357685,00,976,locomotor
1670357707,00,977,locomotor
1670357782,00,978,locomotor
1670357806,00,979,locomotor
1670357852,00,980,locomotor
1670357919,00,981,locomotor
1670357975,00,982,locomotor
1670358059,00,983,locomotor
1670358086,00,984,locomotor
1670358145,00,985,locomotor
1670358206,00,986,locomotor
1670358291,00,987,locomotor
1670358409,00,988,locomotor
1670358481,00,989,locomotor
1670358498,00,990,locomotor
1670358530,00,991,locomotor
1670358714,00,992,locomotor
1670358727,00,993,locomotor
1670359086,00,994,locomotor
1670359101,00,995,locomotor
1670359110,00,996,locomotor
1670359116,00,997,locomotor
1670359122,00,998,locomotor
1670359133,00,999,locomotor
1670359141,00,1000,locomotor
1670359155,00,1001,locomotor
1670359161,00,1002,locomotor
1670359181,00,1003,locomotor
1670359191,00,1004,locomotor
1670359210,00,1005,locomotor
1670359218,00,1006,locomotor
1670359226,00,1007,locomotor
1670359234,00,1008,locomotor
1670359242,00,1009,locomotor
1670359254,00,1010,locomotor
1670359263,00,1011,locomotor
1670359294,00,1012,locomotor
1670359492,00,1013,locomotor
1670359499,00,1014,locomotor
1670359505,00,1015,locomotor
1670359516,00,1016,locomotor
1670359527,00,1017,locomotor
1670359541,00,1018,locomotor
1670359554,00,1019,locomotor
1670359563,00,1020,locomotor
1670360012,00,1021,locomotor
1670360026,00,1022,locomotor
1670360033,00,1023,locomotor
1670360041,00,1024,locomotor
1670360208,00,1025,locomotor
1670360222,00,1026,locomotor
1670360264,00,1027,locomotor
1670360304,00,1028,locomotor
1670360326,00,1029,locomotor
1670360333,00,1030,locomotor
1670360356,00,1031,locomotor
1670360372,00,1032,locomotor
1670360378,00,1033,locomotor
1670360388,00,1034,locomotor
1670360423,00,1035,locomotor
1670360435,00,1036,locomotor
1670360444,00,1037,locomotor
1670360461,00,1038,locomotor
1670360485,00,1039,locomotor
1670360496,00,1040,locomotor
1670360503,00,1041,locomotor
1670360509,00,1042,locomotor
1670360531,00,1043,locomotor
1670360579,00,1044,locomotor
1670360651,00,1045,locomotor
1670360657,00,1046,locomotor
1670360666,00,1047,locomotor
1670360717,00,1048,locomotor
1670360802,00,1049,locomotor
1670360860,00,1050,locomotor
1670361076,00,1051,locomotor
1670361117,00,1052,locomotor
1670361146,00,1053,locomotor
1670361154,00,1054,locomotor
1670361162,00,1055,locomotor
1670361180,00,1056,locomotor
1670361189,00,1057,locomotor
1670361208,00,1058,locomotor
1670361242,00,1059,locomotor
1670361248,00,1060,locomotor
1670361257,00,1061,locomotor
1670361265,00,1062,locomotor
1670361271,00,1063,locomotor
1670361418,00,1064,locomotor
1670361455,00,1065,locomotor
1670361465,00,1066,locomotor
1670361989,00,1067,locomotor
1670361997,00,1068,locomotor
1670362011,00,1069,locomotor
1670362088,00,1070,locomotor
1670362178,00,1071,locomotor
1670362238,00,1072,locomotor
1670362253,00,1073,locomotor
1670362269,00,1074,locomotor
1670362395,00,1075,locomotor
1670362551,00,1076,locomotor
1670362662,00,1077,locomotor
1670362668,00,1078,locomotor
1670362852,00,1079,locomotor
1670362867,00,1080,locomotor
1670362883,00,1081,locomotor
1670362941,00,1082,locomotor
1670362949,00,1083,locomotor
1670363377,00,1084,locomotor
1670363383,00,1085,locomotor
1670363418,00,1086,locomotor
1670363424,00,1087,locomotor
1670363431,00,1088,locomotor
1670363440,00,1089,locomotor
1670363755,00,1090,locomotor
1670364139,00,1091,locomotor
1670364196,00,1092,locomotor
1670366304,00,1093,locomotor
1670366310,00,1094,locomotor
1670366317,00,1095,locomotor
1670366367,00,1096,locomotor
1670366384,00,1097,locomotor
1670366424,00,1098,locomotor
1670366430,00,1099,locomotor
1670366438,00,1100,locomotor
1670366489,00,1101,locomotor
1670366496,00,1102,locomotor
1670366514,00,1103,locomotor
1670366566,00,1104,locomotor
1670366574,00,1105,locomotor
1670366581,00,1106,locomotor
1670366621,00,1107,locomotor
1670366663,00,1108,locomotor
1670366674,00,1109,locomotor
1670366682,00,1110,locomotor
1670366704,00,1111,locomotor
1670366710,00,1112,locomotor
1670366716,00,1113,locomotor
1670366834,00,1114,locomotor
1670366844,00,1115,locomotor
1670366850,00,1116,locomotor
1670366856,00,1117,locomotor
1670366866,00,1118,locomotor
1670366878,00,1119,locomotor
1670366885,00,1120,locomotor
1670366892,00,1121,locomotor
1670366904,00,1122,locomotor
1670366910,00,1123,locomotor
1670366922,00,1124,locomotor
1670366933,00,1125,locomotor
1670366944,00,1126,locomotor
1670366957,00,1127,locomotor
1670366970,00,1128,locomotor
1670366982,00,1129,locomotor
1670367017,00,1130,locomotor
1670367038,00,1131,locomotor
1670367045,00,1132,locomotor
1670367078,00,1133,locomotor
1670367089,00,1134,locomotor
1670367116,00,1135,locomotor
1670367641,00,1136,locomotor
1670367663,00,1137,locomotor
1670367707,00,1138,locomotor
1670367716,00,1139,locomotor
1670367733,00,1140,locomotor
1670367742,00,1141,locomotor
1670367748,00,1142,locomotor
1670367758,00,1143,locomotor
1670367764,00,1144,locomotor
1670367771,00,1145,locomotor
1670367777,00,1146,locomotor
1670367841,00,1147,locomotor
1670367849,00,1148,locomotor
1670367863,00,1149,locomotor
1670367869,00,1150,locomotor
1670367980,00,1151,locomotor
1670368075,00,1152,locomotor
1670368082,00,1153,locomotor
1670368088,00,1154,locomotor
1670368111,00,1155,locomotor
1670368119,00,1156,locomotor
1670368130,00,1157,locomotor
1670368136,00,1158,locomotor
1670368239,00,1159,locomotor
1670368255,00,1160,locomotor
1670368270,00,1161,locomotor
1670368276,00,1162,locomotor
1670368320,00,1163,locomotor
1670368327,00,1164,locomotor
1670369933,00,1165,locomotor
1670369944,00,1166,locomotor
1670369994,00,1167,locomotor
1670370064,00,1168,locomotor
1670370087,00,1169,locomotor
1670370093,00,1170,locomotor
1670370100,00,1171,locomotor
1670370154,00,1172,locomotor
1670370165,00,1173,locomotor
1670370176,00,1174,locomotor
1670370185,00,1175,locomotor
1670370191,00,1176,locomotor
1670370202,00,1177,locomotor
1670370215,00,1178,locomotor
1670370238,00,1179,locomotor
1670370248,00,1180,locomotor
1670370255,00,1181,locomotor
1670370298,00,1182,locomotor
1670370314,00,1183,locomotor
1670370357,00,1184,locomotor
1670370419,00,1185,locomotor
1670370426,00,1186,locomotor
1670370451,00,1187,locomotor
1670370502,00,1188,locomotor
1670370532,00,1189,locomotor
1670370547,00,1190,locomotor
1670370555,00,1191,locomotor
1670370568,00,1192,locomotor
1670370574,00,1193,locomotor
1670370581,00,1194,locomotor
1670370609,00,1195,locomotor
1670370615,00,1196,locomotor
1670370625,00,1197,locomotor
1670370636,00,1198,locomotor
1670370674,00,1199,locomotor
1670370681,00,1200,locomotor
1670370694,00,1201,locomotor
1670370709,00,1202,locomotor
1670370717,00,1203,locomotor
1670370725,00,1204,locomotor
1670370795,00,1205,locomotor
1670370802,00,1206,locomotor
1670370813,00,1207,locomotor
1670370824,00,1208,locomotor
1670370831,00,1209,locomotor
1670370891,00,1210,locomotor
1670370924,00,1211,locomotor
1670370957,00,1212,locomotor
1670370963,00,1213,locomotor
1670370975,00,1214,locomotor
1670370986,00,1215,locomotor
1670370998,00,1216,locomotor
1670371004,00,1217,locomotor
1670371015,00,1218,locomotor
1670371021,00,1219,locomotor
1670371048,00,1220,locomotor
1670371089,00,1221,locomotor
1670371096,00,1222,locomotor
1670371102,00,1223,locomotor
1670371109,00,1224,locomotor
1670371194,00,1225,locomotor
1670371223,00,1226,locomotor
1670371230,00,1227,locomotor
1670371236,00,1228,locomotor
